,annotations,candidates_holder,tweet_text,tweetid
39,"['maia', 'linkin park']","['maia', 'linkin park']",Maia with the Linkin Park classic walk out song ,2758
40,['liam'],['liam'],Liam is so fine what on earth ,2001
41,[],[],I'm soooo excited!! ,309
42,"['russia', 'trump']","['russia', 'traitor trump']",Keep investigating TRAITOR TRUMP ties to Russia ,483
43,[],[],"Wake Up Sheeple &amp; Stop Drinking The Left's ""Fool-Aid"" !! ""Thaaat's Right""...""You Know It's True""... ",2435
44,[],[],Lighter shade of brown ,2138
45,[],[],No distractions. Keep up the pressure to get to the truth. ,450
46,[],[],"@senrobportman @amyklobuchar Will u oppose ,which would eliminate any progress made in the fight against the ?Will u fight for Ohioans? ",868
47,['poc'],[],Nice going fam. got these POCs scared. ,2107
48,[],[],First fight sucked and second fight ended too soon 😒 ,2869
49,[],[],we love everyone with good will ,2196
50,['eurovision'],['eurovision'],That time I performed&amp; hosted Eurovision's Opening Ceremony ,1174
51,[],[],"@votebenstuckart You need to be repealed and replaced. @cathymcmorris thanks MoRo, yor a peach. ",781
52,"['bloods', 'crips']",['the bloods'],"The Bloods &amp; Crips once squashed their beef, came together, &amp; made dope music...why can't the current Red &amp; Blue do… ",912
53,[],[],"IM LOGICAL. Fuck liberal/right wing. Im getting a little too political tonight, but at what point does the #  become . ",2260
54,[],[],Haha I just watched  and I found this weird and strange haha ,1366
55,"['also-holloway', 'aldo']",['aldo'],"If they match me up with Aldo for a third time, I don’t know. MMAFightingEdgar: I want the winner of Aldo-Holloway. ",2945
56,[],[],If you are White and think you are oppres… Have been for centuries. We ARE the oppressors. Oppressed? ,2351
57,"['carter page', 'fisa', 'fbi']",['carter page'],We don't know. Based on what? FBI convinced FISA judge to provide warrant. Carter Page ,90
58,['nylon'],['king'],"v152653 185 8X6 (96""X72"") FEET KING SIZE Normal quality DOUBLE BED NYLON MOSQUITO NET ",1557
59,['kay'],[],I did not watch Can I still call you Kay? It used be Kay. I don't know what name to call you. @auroraslane Its you! ,1496
60,"['scared to be lonely', 'niall cantando']",[],-CT♡ Niall cantando Scared to be lonely en el  . ,1994
61,[],[],me being ignored by everyone in the group chat ,1282
62,['demian'],['demian'],Come on then Demian! ,3049
63,['pa'],['pa'],"With love- a resident of Pa. @PAAttorneyGen will you join him, please? ",770
64,['trumpcare'],[],"It is now Trumpcare, a disgusting bill that protects the rich and let the poor to die without proper coverage Stop calling this . ",750
65,['raccoon gosha'],['crazy raccoon gosha loves washing everything'],"Crazy Raccoon Gosha Loves Washing Everything ,,, ",1865
66,"['portugal', 'canonization', 'holy father']",['portugal'],It is no coincidence that Portugal won  on the day of the  canonization by the Holy Father. ,1306
67,"['rodriguez', 'edgar']","['rodriguez', 'edgar', 'edgar fighted brilliant', 'damaged rodriguez']","Edgar Was On Fire 🔥🔥🔥 Wanted More From Rodriguez TBH Edgar Fighted Brilliant &amp; Damaged Rodriguez, Whole Eye Closed Up. ",2946
68,"['ufc', 'frankie', 'mcgregor']","['ufc', 'frankie']",The fight the UFC never wanted was Frankie vs McGregor.. it would have been interesting to see. ,2686
69,['bulgarian'],[],When you realise the Bulgarian entry was born in the year 2000 ,1080
70,[],['queen'],Queen 👑 ,1843
71,['la'],[],LA you sounded amazing singing  … Thank you @1027kiisfm for the invite. ,1736
72,[],[],Can I rt this 10 times?🙃 ,2096
73,[],['daniel cormier'],@dc_mma @ufc Awesome commentator! Great champion. Great talent and heart. Have I ever mentioned I love Daniel Cormier? ,2635
74,[],[],and with that swift but firm booty shake - australia were never invited back ,1455
75,[],[],It's the real issue causing divide... racism takes a backseat ,972
76,"['carter page', 'fox news', 'fisa', 'fbi']","['carter page', 'fox news the']",Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump adviser - Fox News The  is deep. ,76
77,"['russia', 'page']","['russia', 'page']","""there was probable cause to believe Page was acting as an agent of a foreign power, in this case Russia ",514
78,[],[],@MileyCyrus &amp; @noahcyrus surprised their mom with a birthday cake at ! AWWW! ,1887
79,"['carter page', 'syria strike']","['carter page', 'syria']",Stay focused The Syria strike was a distraction away from . @mcspocky Looks like Carter Page will be one of the first dominoes to fall. ,28
80,[],[],don't riot in the streets when a cop shoots a white person. ,2304
81,[],[],while republic*ns r rejoicing in carts of beer &amp; celebratory songs millions of americans will die in the coming yrs bc of lack of healthcare ,931
82,"['house', 'aca', 'house republicans', 'obamacare']",['house republicans'],"Instead, it l… The House Just Passed a Bill to Rewrite Obamacare ""House Republicans say their bill repeals the ACA. ",677
83,"['australia', 'africa', 'north america', 'antarctica', 'south america', 'europe']","['australia', 'africa', 'north america', 'antarctica', 'south america', 'europe']","We Europe are drunk and we are taking Australia with us.… Hey Africa, North America, South America, Antarctica. ",1352
84,[],[],The beautiful @noahcyrus 😍can't wait to see you on our  main stage! ,1848
85,['ostriches'],[],",,, Ostriches tried on skiing gear, and what happened next will stun you! ",1925
86,[],[],"Watch it - &amp; never believe them again! FAKE ""casualty tactics"" caught on video - in detail! ",1552
87,[],[],2nd Round KO for Gambred ,2980
88,"['republican party', 'democratic party']",[],"The Democratic Party today is not the Democratic Party from 100-150 years ago, same with the Republican Party...… ",2436
89,['liberty university'],['liberty university'],"how absurd do they need to get? ""Liberty University"" is silly from bar 1. you have 2 admit ",2111
90,[],[],"Slay, @HaileeSteinfeld! ",1910
91,"['ufc', 'stipe', 'jds']",['ufc'],JDS vs Stipe better deliver. Worthy fight card indeed. In a Sports bar with the fiancé catching UFC 211 was a great decision. ,2841
92,"['trump', 'rose garden', 'house republicans']","['trump', 'rose garden', 'house republicans']","Trump, House Republicans take health-care victory lap in Rose Garden ",974
93,['maia'],['maia'],Maia should come out to “stranglehold”. ,2873
94,[],[],"At least White Power isn't the trend, like who the fuck even started this one :p.. ",2462
95,['phil'],[],if they wanted phil and i to host they could have just asked there's no need to hijack our style ,1320
96,[],['er'],"Terrible. A sad day indeed for emergency physicians and their patients, who may lose guaranteed coverage for ER visits thanks to . ",548
97,[],[],⬇【Store】 bat dances in the clouds and blue moonlight 【LINETheme】 ,1499
98,['niall'],[],| @iHeartRadio 🔥 Who's excited to see him on stage tonight?! Niall is on the carpet!! ,1948
99,"['ireland', 'uk']","['ireland', 'uk']",300 years and all that. Ah well. No points from Ireland to the UK. ,1260
100,"['maia', 'rick story']","['maia', 'rick story']",That one time when Maia squeezed Rick Story's brain out of his head ,2915
101,"['niall', 'on the loose', 'meu deus']","['on the loose', 'meu']","(via @chxudry) MEU DEUS Niall performando ""On The Loose"" no ",1735
102,[],[],"But those @HillaryClinton emails........(looking for ""head exploding"" emoji) ",177
103,['camila'],['camila'],Camila durante a performance de Bad Things no ,1821
104,[],[],When @NiallOfficial brings out  💃🏻 ,1766
105,[],[],Let's go @demianmaia  👍👊 So nervous for this one. ,3007
106,['rus'],[],won  w/song on .s  atrocities last yr = good  for Rus public while  &amp;  public distracted ,1523
107,[],[],"👇🏼 Just listen &amp; learn? So... , here's an idea: how about we stop defending for a sec, &amp; pay attention. ",2285
108,['senate gop'],['snub house'],Senate GOP to Snub House   Bill and Write Its Own  via @bpolitics ,686
109,[],[],LOOK AT HER ☹️ ,1864
110,['maia'],[],Ruh roh! Maia coming out to Linkin Narc? ,2705
111,['american'],[],Don't wait around for the American taxpayer to pick up YOUR tab. Simple. @CNN Get a job and get coverage. ,903
112,[],[],But the real story here is stupidity. I was going to write about hate and betrayal. ,397
113,['carter page'],['carter page'],@MikeMalloyShow Carter Page Does this mean the worship of phallic symbols is over &amp; we're back to reality? ,402
114,['niall'],[],"©  courtneyjbarry /isa Niall performing at 102.7 KIIS FM’s 2017  •May 13th, 2017! ",1890
115,"['flynn', 'gen. flynn', 'hallelujah']","['flynn', 'asshole yellow belly']",Hallelujah Gen. Flynn - Mr. Asshole Yellow Belly That fear begets true confessions. Weakness spreads like fear whenever any such piece fails ,113
116,[],[],This is just one consequence of the . Take note. ,612
117,[],[],Thanks @maroon5 and @adamlevine !!! ,1710
118,['americans'],[],Don't B fooled. The  will not serve those Americans with pre-existing conditions. ,782
119,[],[],LOST IT ,461
120,[],[],My dad is going to be so pissed when he finds out how much money is spent to vote for @isaiahofficial ,1275
121,[],[],i fucking love this song ,1808
122,[],[],@seanhannity what about this spy... ,31
123,['niall'],[],😍😍😍 Niall en el !! ,1682
124,"['carter page', 'russia', 'rosneft', 'russia oil', 'trump']","['carter page', 'russia', 'rosneft', 'counter-terrorism']","Carter Page was the target of Counter-terrorism probe &amp; investor in Rosneft, the Russia oil giant &amp; Trump advisor. ",385
125,"['camila', 'instagram']",[],Camila no Instagram story da @Chelsea_Briggs ,1656
126,"['puppet master', 'comrade comey']",[],Comrade Comey did as his Puppet Master ordered. ,63
127,[],[],"ah yes, the jewelled milk carton, my favourite instrument ",1463
128,['republicans'],[],republicans are literally evil lol ,851
129,[],[],Some seriously good talent this year Seriously love watching  every year. ,1206
130,"['b.j.penn', 'alex caceres', 'yair rodriguez', 'frankie ed']","['frankie ed…', 'alex caceres', 'yair rodríguez', 'b.j. penn']","Frankie Ed… After narrow Alex Caceres win &amp; B.J.Penn, this was too big a step up. Reality check for Yair Rodríguez. ",2835
131,[],[],This scar face song is scary. ,2951
132,[],[],One @Potus Multiple issues. I can not recall a day where I have been so angry so many different times to the point of seeing stars. ,671
133,['gop'],[],@RepJimRenacci it's time We're supporting your opponent. The GOP health bill will take away rehabilitative care. ,887
134,[],[],Apparently I must censor myself because some effeminates are watching tv. ,1453
135,[],[],Top level mangling. Good heavens. ,2810
136,"['maia', 'masvidal']",[],Masvidal is a hell of a fighter but Maia can tap out anyone in the division ,2896
137,['trump'],['trump'],Anyone trademarked Trump Coffins yet? ,805
138,['wonder world tour'],[],☺️Anyone else? Her performance gave me such Wonder World Tour vibes! ,1734
139,[],[],As you should be unlike everybody else you're the first person I've seen say this ,2549
140,[],[],"Face it, we're fucking rainbows. Are actually lizards because we turn green,red,purple,pink,yellow,and grey. ",2200
141,['socialist'],[],Plus your new world is being invaded by third world savages. Socialist medicine fails when the rich run out of money. ,707
142,"['tmt', 'uber', 'bobby ryan']",['bobby ryan'],TMT Boxer Broke And Driving Uber    Bobby Ryan ... ,2806
143,"['edgar', 'mmafighting']","['edgar', 'tko']","Edgar by TKO, doctor’s stoppage. MMAFightingThe fight is over. ",2709
144,"['masvidal', 'scarface']",['the scarface'],Masvidal coming out to the Scarface ending theme is hilarious. ,2991
145,[],[],Me too ,2502
146,['obama'],['obama'],Obama really really really liked ,2515
147,['racism'],[],Racism wouldn't exist if white peoplr didn't create the social construct of race. ,2217
148,"['portugal', 'euro', 'mccanns']","['portugal', 'euro portugal']",All going according to plan… Portugal 🇵🇹 arrests the McCanns Portugal 🇵🇹 wins Portugal 🇵🇹 wins Euro ,1230
149,['moldova'],['congratulations moldova'],Congratulations Moldova for the 3rd place ❤️ ,1418
150,"['carter page', 'sean spicer']","['carter page', 'sean spicer']",Sean Spicer on Carter Page: ,4
151,[],[],i will die for her tummy RIGHT NOW ,1800
152,[],[],👀🇩🇰 Oh shit here we go! ,1245
153,"['scary clown cars', 'republicans']",['scary clown cars'],Wait til you see how they add their tax schemes to the mix Sad+Bad With  Republicans have become the party of Scary Clown Cars. ,967
154,[],[],I demand another vote! ,1542
155,"['carter page', 'trump', 'fisa', 'fbi']","['carter page', 'trump', 'fbi']","PROTEST NOW NOT MY PRES FBI obtained FISA warrant to monitor former Trump adviser Carter Page, because like Trump himself - Power Corrupts? ",503
156,"['health care act', 'house republicans']",[],"Health Care Act Stop fascist regime &amp; House Republicans bf more hurt/killed, here or arnd world! ",957
157,['polonium tea syndrome'],[],Sudden onset polonium tea syndrome is my guess. ,529
158,[],[],"This is very common for non-POC. It didn't affect us."" ""We didn't talk about race because we didn't have to. ",2248
159,"['andrew mccabe', 'donald trump', 'trump', 'rice', 'carter page', 'fbi', 'hillary', 'obama', 'lynch']","['hillary', 'andrew mccabe', 'donald trump', 'carter page']",Carter Page @marklevinshow FBI  Hillary's Andrew McCabe was secretly working with  Lynch/Obama/Rice to spy on Donald Trump team VIA any means necessary! ,444
160,"['masvidal', 'scarface']",[],Masvidal coming out to the scarface theme song 🔥 ,2633
161,['spain'],['spain'],Spain are now the country who have waited the longest for a win.. (48 years) ,1192
162,"['carter page', 'spicer', 'cnn']",['carter page story'],Where the hell is carter page story? Im going to lose my mind cnn shows the spicer interview with wolf one more time. ,105
163,['british isles'],['british isles'],@eliistender10 I think that you'll find this is the best  entry from the British Isles ,1560
164,"['israel', 'eurovision']","['israel', 'eurovision']",Besides Israel is in… Israel should be banned from participating in Eurovision b/c of appalling human rights record. ,1308
165,[],[],"@BrendanSchaub Got the same,surely a title shot for whoever wins this ",2601
166,"['russia', 'darth vader']","['russia', 'darth vader']",I think these guys that sold out our country to the devil (Russia) should probably get a Darth Vader like body guard for protection. ,390
167,[],[],@realDonaldTrump @funder   The truth just keeps slowly trickling out! ,399
168,['christian'],[],I am proud to be a white Christian male. ,2302
169,[],['constituent'],SHOW your senators that a vote for  is political suicide. Direct action at constituent office near you. Call YOUR REPS WHO VOTED YES. ,730
170,"['carter page', 'trump', 'fbi']","['carter page', 'trump']",FBI received warrant to monitor Trump adviser Carter Page: report ,323
171,['carter page'],"['office', 'carter page']","Place you bets, I say @realDonaldTrump will be out of office in next 12 months And @mike_pence needs to follow him too  ""Carter Page"" ",161
172,['portugal'],['portugal'],Well done to @Dean0909 for winning the sweepstake! WINNER is Portugal! ,1070
173,[],[],Now there's fire to go along with a ton of smoke. ,278
174,[],['god'],", for the love of God, ",513
175,['floridans'],[],Today you put Party before constituents &amp; we do not forget. Floridians will not forget your YES vote today on . @RepRooney @TomRooney ,624
176,['liam payne'],['liam payne'],Liam Payne just showed up on the  yellow carpet 🔥 | @iHeartRadio SURPRISE. ,1903
177,"['carter page', 'trump', 'fisa', 'fbi']","['carter page', 'trump', 'fbi']",Drip drip... FBI obtained FISA warrant to monitor former Trump adviser Carter Page ,455
178,[],[],DAMN ,2918
179,['maia'],['maia'],I'm taking Maia. Last minute change. ,2929
180,['azerbaijan'],['azerbaijan'],Looks like Azerbaijan has been playing my horse prince ,1291
181,['senate'],[],"Hey @SenatorMenendez and @CoryBooker, just wanted to confirm you'll both be voting ""NO"" when the  hits the Senate, right? ",626
182,[],[],i LOVE how she sings this ,2008
183,"['twood', 'masvidal']",[],"I don't think he will but if Masvidal wins, him vs TWood for the title is gonna be CRAZY! ",2866
184,[],[],Thank you A new meme has been born. ,1475
185,"['australia', 'europe']",['europe'],austalia: SiNcE wHeN iS aUsTrAlia iN eUrOpE? everyone: since when is australia in europe? ,1395
186,[],[],ICONIC. ,1326
187,['liam'],['liam'],📸 | Liam at  tonight  [@901Music] ,1958
188,"['trump', 'trumpcare', 'house republicans']",['trump'],These 24 House Republicans voted for Trumpcare in seats where Trump got less tha.. ,778
189,[],[],we hate white people like youuuu not all of them babygirl ,2146
190,[],[],"@GamebredFighter is the epitome of the overused term ""gangster"" ",2725
191,"['democrats', 'obamacare', 'house republicans']","['why democrats', 'house republicans']","Why Democrats sang “hey, hey, hey, goodbye” after House Republicans voted to repeal Obamacare  via @voxdotcom ",951
192,['liam'],['liam'],📸 | Liam at  tonight. ,1814
193,[],[],Dont see you on @TIME influencers list. Took tremendous work and sacrifice. accomplishments. ,2331
194,[],[],is over for another year — here's some of the funniest Tweets. ,1538
195,[],[],But Not Painless This will be quick.. ,2857
196,[],[],I will custom sign for winner!… Once this tweet with my   sweatshirt hits 250 RT the contest will begin. ,2570
197,"['carter page', 'trump', 'fisa', 'fbi']","['carter page', 'trump', 'fbi']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page ,336
198,[],[],"We can't wait for @Camila_Cabello to hit the stage with @machinegunkelly! Mic Check 1, 2!! ",1569
199,"['rachel', 'trump']","['rachel', 'trump']",Rachel  should do a special w/ all the planned segments that had to be tossed due to late-breaking Trump admin bombshells. ,362
200,[],[],Remember their names. ,636
201,['coal mining'],[],"those coal mining states beware you have the most to lose, no jobs, no vacations, no health care, no pre existing healthcare, or retirement ",559
202,[],[],Beautiful @birgitstauber! ,1440
203,"['canelo', 'yair']","['canelo', 'damnnn yair']",Just not today… Hell be back and maybe he can still be bigger then Canelo some day. Damnnn Yair took a beating. ,2881
204,"['gop', 'republicans']",['gop'],"This is why I left the Republicans years ago. Get ready to sing ""Nah nah nah"" in 2018, GOP. ",650
205,"['on the loose', 'niall cantando']",[],Niall cantando 'On the Loose' esta tarde en el ! ,1900
206,[],[],😭❤️ Fuck. ,1378
207,"['hold tight', 'justin']",['justin'],Justin singing Hold Tight last 2 years ago at ,1797
208,[],[],love white everything! ,2153
209,['hillary clinton'],['hillary clinton'],Hillary Clinton in 1975: Defends a Child Rapist   i ,1349
210,"['maia', 'bjj']",['maia'],I expect a great display of BJJ by Maia ,2614
211,[],[],Hold your applause... ,939
212,[],[],Excuse us.. @NiallOfficial coming through ,1733
213,[],[],Show has been amazing but I only came to see @TanyaRad @1027KIISFM ,2024
214,"['maia', 'masvidal']",['maia'],"Here's my breakdown Maia is such a beast. I got Masvidal, but don't feel confident at all about it. ",2755
215,[],[],Let's not forget. ,432
216,[],[],Crowd reaction says it all ,2661
217,[],[],Fuck ,1380
218,[],[],@1027KIISFM   Can't wait for my first performance EVER of  🌊 ,1940
219,"['maia', 'linkin park']","['maia', 'linkin park']",Maia is coming out to Linkin Park 😂 ,3065
220,[],[],@adamlevine is fucken hottttttt ,1704
221,"['maia', 'masvidal', 'gameb']",['maia'],After Masvidal's last few fights fools are like this for Gameb… Much props to Maia for stepping up to the challenge. ,2940
222,"['niall cantando', 'this town']",[],Niall cantando This Town no  ! ,1989
223,"['trump', 'russian government', 'fisa', 'fbi']","['trump aide', 'the russian government', 'fbi']","REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government' ",0
224,['twitter'],['twitter'],"So Twitter can just let  trend like it's nothing, but if  were trending then there would be… ",2160
225,['type 1 diabetics'],['type 1'],Or... the US equivalent of...me. A similar situation to Type 1 diabetics on too low an income. ,682
226,"['maia', 'masvidal', 'numb']",['maia'],I pick Masvidal to win big here because Maia has Numb as his walkout song. ,2664
227,['america'],['america'],or Ignant af complete selfish asses They are either When  say they wanna 'make America great again' .. ,2148
228,[],[],"Yikes  is full of some serious, top notch shit ",2079
229,"['russian', 'trump', 'manafort', 'flynn', 'carter page']","['russian', 'trump', 'manafort', 'flynn', 'carter page']","Relieved that Trump only surrounds himself with the best people-the best people with Russian ties: Carter Page,Flynn,Manafort... ",191
230,[],[],Updated winners map ,1113
231,"['niall', 'red carpet']",['red carpet'],(7) Niall no Red Carpet do . ,1709
232,[],[],Alright!! ,2802
233,[],[],@JaynePenelope When  call other   then you know they're  or  🤔 ,2395
234,[],[],"Let us not be distracted by ignorance, @PressSec ",133
235,"['house', 'senate republicans', 'health care law']",[],Senate Republicans Already Say the House Health Care Law ‘Falls Short’ ,614
236,"['americans', 'african americans']",[],"must be nice to know exactly where you came from, because most african americans don't have that privilege ",2268
237,[],[],It's clear that no one actually knows the rules ,2971
238,['dreamworks'],['dreamworks'],Feel old yet? This is him now! Remember the DreamWorks kid? ,1220
239,['iran deal'],"['obama', 'iran']",See how easy that was? Pretty much everything Obama did. Iran Deal Things more dishonest than ,915
240,[],[],✌️ @MileyCyrus takes us to ! ,2043
241,[],[],What a disgrace. ,824
242,[],[],be crazy. ,2481
243,[],[],"@LouiseMensch Well, look at that.... ",544
244,[],[],😱😱🇦🇺🎶❤️ OMG 4th in the JURY VOTE AND 9th OVERALL!!!! ,1241
245,"['russian', 'syria', 'trump', 'carter page', 'holocaust denier', 'sean spicer', 'russian agent']","['carter page', 'syria', 'sean spicer']","Media: ""SEAN SPICER IS AN ANTI SEMITE HOLOCAUST DENIER AND CARTER PAGE IS A RUSSIAN AGENT!!!"" Trump: ""We are not going into Syria"". ",331
246,"['kyiv', 'lee lin']",['lee lin'],She's a fierce queen She even pronounced Kyiv correctly. Lee Lin killed it!!! ,1294
247,"['russia', 'page', 'fbi']",['russia'],The FBI believed there was probable cause that Page was acting as an agent of Russia. More than that. ,401
248,[],[],In my head: Me: Nothing Them: Whatcha thinking about? ,1144
249,['niall'],[],Niall no backstage do  ontem - 13/05. ,2038
250,"['clintons', 'bill clinton', 'hillary', 'marine', 'tb']","['bill clinton', 'clintons . marine']",Marine confronts Bill Clinton on his lying wife Hillary.… Just a little TB on  and the Clintons. ,2356
251,['maia'],['maia'],i wanted to root for Maia in this fight until i heard his entrance music. ,2571
252,['frankie'],['frankie'],I'm a little behind just finished round 1 but my dude Frankie doin work! ,2894
253,"['ufc', 'linkin park', 'brazillians']","['ufc', 'linkin park']",If I've learned anything from watching UFC for 10 years is that Brazilians really love early Linkin Park ,2906
254,"['dem', 'gop']",['dem'],GOP and DEM ,149
255,"['house', 'gop']",[],👏🏻👏🏻 THANK THESE GOP House members who put their constituents FIRST. ,644
256,"['niall', 'instagram']",['instagram'],Niall in courtneyjbarry's Instagram story (May 13th) ,2055
257,"['carter page', 'wapo']",['carter page'],Most delicious part of the WaPo Carter Page story. ,37
258,[],[],"@realDonaldTrump You're all going to be unpleasantly surprised over the next few years, you worthless, amoral sociopaths ",748
259,"['cantando', 'miley']",[],miley cantando y bailando we can't stop MY 2013 FEELS ,1775
260,['susan rice'],['susan rice'],Still about the leak problem? Guess that Susan Rice nonsense can go away now. Well well well. ,10
261,"['soviet russia', 'carter', 'page']","['soviet russia', 'carter', 'page']","@JohnFugelsang In Soviet Russia, Page carts Carter around! ",410
262,[],[],@MileyCyrus is BACK and taking us back to her roots with  at ,1802
263,[],[],"Hail victory! And to think, this is only the beginning - believe me. ",2431
264,"['representatives', 'senators']",['representatives'],Call your Senators AND the Representatives that voted for this bill. ,625
265,[],[],Here we go! ,2799
266,['carter page'],['carter pag'],the mainstream isjust catching up with what you  posted almost amonth ago about Carter Page.Y A unreal @LouiseMensch You are just unreal. ,454
267,[],[],That was the funniest part of  this year hilarious 🎶🎶😎😎😂😂😂 ,1172
268,[],[],@FakeJoeSilva Well deserved! ,2827
269,[],[],"Sorry you forgot that. @greeneyes0084 Because  are bombing the shit out of their homes, schools, hospitals &amp; more, for oil/resources. ",2410
270,[],[],Hopefully he will never win another one. ,2767
271,"['camila', 'bad things']",[],Camila and @machinegunkelly performing Bad Things tonight at ,2064
272,['carter page'],['carter page'],"The blaze is coming. Ah, but Carter Page is the kindling. ",434
273,"['carter page', 'sean spicer', 'holocaust centers']",['sean spicer carter'],Holocaust Centers     Sean Spicer Carter Page ,264
274,['miley'],[],"💐😘🌷🌸 ""- Miley so cute! ""You know I had to come bearing gifts! ",1680
275,"['united states of west america', 'united states of  east america', 'united states of flyover america']","['united states of west america', 'united states of flyover america', 'united states of east america']",Not so much United States of Flyover America? United States of West America and United States of East America have nice rings to them. ,662
276,[],[],"HE WAS SO NERVOUS THAT DAY, ",2016
277,"['american', 'gop', 'house republicans']",[],The GOP house Republicans passed the  against the will of the American people who when last polled said about 17% supported this bill. ,795
278,['scarface'],['the scarface'],Let's go! @GamebredFighter coming out to the Scarface song!!!! ,3005
279,"['avocadies', 'bananies']",[],this mf look like bananies and avocadies ,1130
280,"['maia', 'damian maia']",['damian maia'],i have taken jiu-jitsu from Damian Maia ,2948
281,"['pbo', 'trump', 'fisa', 'fbi']","['pbo', 'trump', 'fbi']",Worst spin of a legal FISA warrant by FBI.... ever. I know you are not trying to say Trump was right about illegal wiretapping by PBO. ,173
282,[],[],"@KamalaHarris I have no doubt you oppose this, but I urge you to make the impact clear and I will stand beside you in this fight. ",820
283,[],[],@joannamma @jessicammapro @FrankieEdgar @panteraufc @stipemiocicufc @junior_cigano @GamebredFighter 175 RT away fr… ,3022
284,[],[],Can someone please tell me something  can do without killing themselves that's not racist at this point? ,2246
285,['frankie edgar'],['frankie edgar'],"So, um, you want to fight Frankie Edgar?? ",2864
