,TweetSentence,annotation,calai_candidates,entry_batch,hashtags,phase1CandidateList,phase1Candidates,ritter_candidates,sentID,stanford_candidates,start_time,tweetID,user
16,No wonder Carter Page is the Trump advisor that other Trump staffers deny ever seeing at Trump Tower.,[],,0.0,nan,"['Carter Page', 'Trump', 'Trump', 'Trump Tower']",Carter Page::*2*3*||Trump::*6*||Trump::*10*||Trump Tower::*16*17*||,,0,,2019-01-27 15:38:44.444048,12,mallsta
17,He's one of the most complicit.,[],,0.0,nan,[],,,1,,2019-01-27 15:38:44.444048,12,mallsta
18,@BrianPaulStuart @realDonaldTrump And now Steele the Savior is going to be proven to be a hack!,[],,0.0,nan,['Steele the Savior'],Steele the Savior::*4*5*6*||,,0,,2019-01-27 15:38:44.445516,13,EricJGilbert
19,"@chrislhayes Please ask Trump, why he chose Carter Page.",[],,0.0,nan,"['Trump', 'Carter Page']",Trump::*3*||Carter Page::*7*8*||,,0,,2019-01-27 15:38:44.446139,14,berserkbd
20,Who told him to hire him?,[],,0.0,nan,[],,,1,,2019-01-27 15:38:44.446139,14,berserkbd
21,Report: FBI granted FISA warrant to surveil ex-Trump aide Carter Page | TheHill,[],,0.0,nan,"['FBI', 'FISA', 'Carter Page', 'TheHill']",FBI::*1*||FISA::*3*||Carter Page::*9*10*||TheHill::*12*||,,0,,2019-01-27 15:38:44.446976,15,ngunn7
22,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a...  by  via @c0nvey,[],,0.0,deray,"['FBI', 'FISA', 'Trump', 'Carter Page']",FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||,,0,,2019-01-27 15:38:44.447958,16,GaryKGreen
23,Very well explained take on Carter/ Russia/ FISA/ Trump sitch.,[],,0.0,nan,"['Carter', 'Russia', 'FISA', 'Trump']",Carter::*5*||Russia::*6*||FISA::*7*||Trump::*8*||,,0,,2019-01-27 15:38:44.448980,17,jannypie
24,Maxine Waters.,[],,0.0,nan,[],nan,,0,,2019-01-27 15:38:44.449781,18,thecircledancer
25,Mam.,[],,0.0,nan,[],nan,,1,,2019-01-27 15:38:44.449781,18,thecircledancer
26,Esq.,[],,0.0,nan,[],nan,,2,,2019-01-27 15:38:44.449781,18,thecircledancer
27,Keep On.,[],,0.0,nan,[],nan,,3,,2019-01-27 15:38:44.449781,18,thecircledancer
28,A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia,[],,0.0,trumprussia,"['FBI', 'Carter Page', 'Russia']",FBI::*5*||Carter Page::*10*11*||Russia::*19*||,,0,,2019-01-27 15:38:44.450195,19,funder
29,FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post so there was surveillance,[],,0.0,nan,"['FISA', 'Trump', 'Carter Page', 'Washington Post']",FISA::*2*||Trump::*7*||Carter Page::*9*10*||Washington Post::*13*14*||,,0,,2019-01-27 15:38:44.451799,20,LSURay
30,"""Sean, say something really fucked up today maybe say Hocaust Centers or something so they don't talk about Carter Page""",[],,0.0,nan,"['Hocaust Centers', 'Carter Page']",Hocaust Centers::*9*10*||Carter Page::*18*19*||,,0,,2019-01-27 15:38:44.452845,21,Diane_Warren
31,Great,[],,0.0,nan,[],nan,,0,,2019-01-27 15:38:44.453841,22,CaronScott5
32,"Just reported by Chris Hayes, Carter page was surveilled by FBI via FISA warrant.",[],,0.0,nan,"['Chris Hayes', 'Carter', 'FBI', 'FISA']",Chris Hayes::*3*4*||Carter::*5*||FBI::*10*||FISA::*12*||,,0,,2019-01-27 15:38:44.454026,23,TrumpHaterShirt
33,"Buh bye, Carter.",[],,0.0,nan,['Carter'],Carter::*2*||,,1,,2019-01-27 15:38:44.454026,23,TrumpHaterShirt
34,FBI obtained FISA warrant to monitor former Trump adviser Carter Page.,[],,0.0,nan,"['FISA', 'Trump', 'Carter Page']",FISA::*2*||Trump::*7*||Carter Page::*9*10*||,,0,,2019-01-27 15:38:44.455387,24,christineltroch
35,This is huge.,[],,0.0,nan,[],,,0,,2019-01-27 15:38:44.456263,25,racheline_m
36,Bar for a FISA warrant targetting US person is knowingly acting as foreign agent in a way that violates,[],,0.0,nan,"['FISA', 'US']",FISA::*3*||US::*6*||,,1,,2019-01-27 15:38:44.456263,25,racheline_m
37,Umm.,[],,0.0,nan,[],nan,,0,,2019-01-27 15:38:44.457362,26,JetlifeMegs
38,Should we tell him he's delusional?,[],,0.0,nan,[],,,1,,2019-01-27 15:38:44.457362,26,JetlifeMegs
39,"Sean Spicer mis-spoke, Libs loved it, yet forget the DOJ still worked all day on indictments",[],,0.0,hardball,"['Sean Spicer', 'Libs', 'DOJ']",Sean Spicer::*0*1*||Libs::*3*||DOJ::*9*||,,0,,2019-01-27 15:38:44.457789,27,DCjusticeseeker
40,Carter Page,[],,0.0,hardball,[],nan,,1,,2019-01-27 15:38:44.457789,27,DCjusticeseeker
41,@mcspocky Looks like Carter Page will be one of the first dominoes to fall.,[],,0.0,nan,"['Looks', 'Carter Page']",Looks::*1*||Carter Page::*3*4*||,,0,,2019-01-27 15:38:44.458871,28,JrgLaw
42,The Syria strike was a distraction away from .,[],,0.0,nan,['Syria'],Syria::*1*||,,1,,2019-01-27 15:38:44.458871,28,JrgLaw
43,Stay focused,[],,0.0,nan,[],,,2,,2019-01-27 15:38:44.458871,28,JrgLaw
44,FBI secured FISA warrant against Carter Page over concerns he was 'was acting as an agent' of Russia | Raw Story,[],,0.0,nan,"['FISA', 'Carter Page', 'Russia', 'Raw Story']",FISA::*2*||Carter Page::*5*6*||Russia::*17*||Raw Story::*19*20*||,,0,,2019-01-27 15:38:44.460398,29,blazinbabs67
45,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in...  by  via @c0nvey,[],,0.0,_flanders,"['FBI', 'FISA', 'Trump', 'Carter Page']",FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||,,0,,2019-01-27 15:38:44.462008,30,Sparblack1213
46,@seanhannity what about this spy...,[],,0.0,nan,[],nan,,0,,2019-01-27 15:38:44.463036,31,pigs_wing
47,Oh you don't say?,[],,0.0,nan,[],,,0,,2019-01-27 15:38:44.463182,32,DixiDoodle
48,@FoxNews @dkrwilliams @oreillyfactor WaPo: FBI wiretapped Trump sorta-adviser Carter Page in 2016.,[],,0.0,nan,"['WaPo', 'FBI', 'Trump', 'Carter Page in 2016']",WaPo::*3*||FBI::*4*||Trump::*6*||Carter Page in 2016::*8*9*10*11*||,,0,,2019-01-27 15:38:44.463440,33,glennyork
49,'Only  American directly targeted with FISA warrant' by Dems &amp; Obama!,[],,0.0,nan,"['American', 'FISA', 'Dems', 'Obama']",American::*1*||FISA::*5*||Dems::*8*||Obama::*10*||,,1,,2019-01-27 15:38:44.463440,33,glennyork
50,carter page you dumbass.,[],,0.0,nan,[],nan,,0,,2019-01-27 15:38:44.465071,34,LydiaBurrell
51,c'mon carter.,[],,0.0,nan,[],nan,,1,,2019-01-27 15:38:44.465071,34,LydiaBurrell
52,get a clue carter page,[],,0.0,nan,[],nan,,2,,2019-01-27 15:38:44.465071,34,LydiaBurrell
53,Well at least this takes the heat off @PressSec,[],,0.0,nan,[],,,0,,2019-01-27 15:38:44.465287,35,LisaBednarski
54,But Carter Page was Manafort's biz partner so he could have been caught in the surveillance,[],,0.0,nan,"['Carter Page', ""Manafort's""]",Carter Page::*1*2*||Manafort's::*4*||,,0,,2019-01-27 15:38:44.465700,36,omyword
55,Most delicious part of the WaPo Carter Page story.,[],,0.0,nan,['WaPo Carter Page'],WaPo Carter Page::*5*6*7*||,,0,,2019-01-27 15:38:44.466451,37,HaroldItz
56,FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post,[],,0.0,nan,"['FISA', 'Trump', 'Carter Page', 'Washington Post']",FISA::*2*||Trump::*7*||Carter Page::*9*10*||Washington Post::*13*14*||,,0,,2019-01-27 15:38:44.466971,38,RadioChio
57,So what will be the fate of Carter Page?,[],,0.0,inners,['Carter Page'],Carter Page::*7*8*||,,0,,2019-01-27 15:38:44.467911,39,MeLoseBrainUhOh
58,"Will he be mysteriously poisoned or accidentally ""fall"" out of a 4th-story window?",[],,0.0,inners,['4th-story'],4th-story::*11*||,,1,,2019-01-27 15:38:44.467911,39,MeLoseBrainUhOh
59,We now return to or regularly scheduled program.,[],,0.0,TrumpRussia,[],,,0,,2019-01-27 15:38:44.468853,40,RyGil01
60,"Drips become waterfall, part I.",[],,0.0,nan,[],,,0,,2019-01-27 15:38:44.469185,41,charnesshartman
61,and again a bang up job by jim comey letting the public know who was under investigation last summer,[],,0.0,nan,[],nan,,0,,2019-01-27 15:38:44.469490,42,marcushjohnson
62,@ funder,[],,0.0,"TrumpRussia, TheResistance",[],nan,,0,,2019-01-27 15:38:44.469631,43,NoAltFacts1984
63,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page...  by  via @c0nvey,[],,0.0,sarahsettgo,"['FBI', 'FISA', 'Trump', 'Carter Page']",FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||,,0,,2019-01-27 15:38:44.469759,44,StonZMGMT
64,Back on the front page where it belongs.,[],,0.0,nan,[],,,0,,2019-01-27 15:38:44.470774,45,ZazuRules
65,It should only be a few minutes before the next crazy diversion.,[],,0.0,nan,[],,,1,,2019-01-27 15:38:44.470774,45,ZazuRules
66,FBI obtained a FISA warrant last summer to monitor Trump adviser Carter Page...  by  via @c0nvey,[],,0.0,thingsweheart,"['FISA', 'Trump', 'Carter Page']",FISA::*3*||Trump::*9*||Carter Page::*11*12*||,,0,,2019-01-27 15:38:44.471533,46,DecentFida
67,GOP and DEM Sorosian trolls out in full force 2 keep Carter Page from trending ps does George have healthcare perks?,[],,0.0,nan,"['DEM Sorosian', 'Carter Page', 'George']",DEM Sorosian::*2*3*||Carter Page::*11*12*||George::*17*||,,0,,2019-01-27 15:38:44.472878,47,tiwhitter
68,Ahh...,[],,0.0,nan,[],nan,,0,,2019-01-27 15:38:44.474194,48,pammy_facepaint
69,hello?,[],,0.0,nan,[],,,1,,2019-01-27 15:38:44.474194,48,pammy_facepaint
70,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a probe of campaign’s Russia ties,[],,0.0,nan,"['FBI', 'FISA', 'Trump', 'Carter Page', 'Russia']",FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||Russia::*19*||,,0,,2019-01-27 15:38:44.474521,49,kwanzer
71,"Carter Page claims the FBI/JD wire tap is just like when the FBI tapped Dr.King... yeah, brah, just like that...except not in every way.",[],,0.0,nan,"['Carter Page', 'FBI', 'JD', 'FBI', 'Dr.King']",Carter Page::*0*1*||FBI::*4*||JD::*5*||FBI::*13*||Dr.King::*15*||,,0,,2019-01-27 15:38:44.475796,50,Aarapparent
72,FBI obtained FISA warrant to monitor former Trump adviser Carter Page via /r/politics,[],,0.0,nan,"['FISA', 'Trump', 'Carter Page']",FISA::*2*||Trump::*7*||Carter Page::*9*10*||,,0,,2019-01-27 15:38:44.477284,51,SubPolitics
73,A FISA warrant against US national requires evidence they knowingly participated in clandestine intel ops.,[],,0.0,nan,"['FISA', 'US']",FISA::*1*||US::*4*||,,0,,2019-01-27 15:38:44.478223,52,BrianNormoyle
74,@rideatdawn Nah... hack dossier damn it!,[],,0.0,nan,[],,,0,,2019-01-27 15:38:44.478885,53,EricJGilbert
75,This Breitbart guy.,[],,0.0,nan,['Breitbart'],Breitbart::*1*||,,0,,2019-01-27 15:38:44.479231,54,snottypants
76,"If Nunes saw Carter Page unmasked on a FISA warrant, no wonder he ran to the White House...wonder what else he saw?",[],,0.0,nan,"['Nunes', 'Carter Page', 'FISA', 'White House']",Nunes::*1*||Carter Page::*3*4*||FISA::*8*||White House::*16*17*||,,0,,2019-01-27 15:38:44.479582,55,spokanetom
77,Rep Schiff do your thing,[],,0.0,nan,['Rep Schiff'],Rep Schiff::*0*1*||,,1,,2019-01-27 15:38:44.479582,55,spokanetom
78,@united just gave lifetime premier status to @PressSec and Carter Page.,[],,0.0,nan,['Carter Page'],Carter Page::*9*10*||,,0,,2019-01-27 15:38:44.481030,56,BrianWithAnE
79,FBI obtained FISA warrant to monitor former Trump adviser Carter Page,[],,0.0,nan,"['FISA', 'Trump', 'Carter Page']",FISA::*2*||Trump::*7*||Carter Page::*9*10*||,,0,,2019-01-27 15:38:44.481645,57,ele_wolfe
80,"But the problem is the leaks, right 45?",[],,0.0,nan,[],,,0,,2019-01-27 15:38:44.482476,58,mdh9876
81,@RDebag @jaketapper @MichLKosinski Like I said (and the FBI said) Zero evidence.,[],,0.0,nan,"['FBI', 'Zero']",FBI::*8*||Zero::*10*||,,0,,2019-01-27 15:38:44.483057,59,Inglorious123
82,Just BS conjecture.,[],,0.0,nan,[],,,1,,2019-01-27 15:38:44.483057,59,Inglorious123
83,Is carter page being charged?,[],,0.0,nan,[],,,2,,2019-01-27 15:38:44.483057,59,Inglorious123
84,No.,[],,0.0,nan,[],nan,,3,,2019-01-27 15:38:44.483057,59,Inglorious123
85,The walls inch ever closer.,[],,0.0,"TrumpRussia, LoserPOTUS",[],,,0,,2019-01-27 15:38:44.484329,60,BillSchultzeJr
86,"Hang in there, folks.",[],,0.0,"TrumpRussia, LoserPOTUS",[],,,1,,2019-01-27 15:38:44.484329,60,BillSchultzeJr
87,Stay focused on  and  will be gone soon.,[],,0.0,"TrumpRussia, LoserPOTUS",[],,,2,,2019-01-27 15:38:44.484329,60,BillSchultzeJr
88,Enough of  and  let's get back to the basics,[],,0.0,"spicer, SyriaStrikes, TrumpRussiaCollusion",[],,,0,,2019-01-27 15:38:44.485302,61,RobertDriemeyer
89,"""Carter Page""",[],,0.0,nan,[],nan,,0,,2019-01-27 15:38:44.485832,62,justsickoflies
90,Comrade Comey did as his Puppet Master ordered.,[],,0.0,nan,"['Comrade Comey', 'Puppet Master']",Comrade Comey::*0*1*||Puppet Master::*5*6*||,,0,,2019-01-27 15:38:44.486044,63,truth_trumpet
91,@FoxNews @dkrwilliams @oreillyfactor FBI  / Hillary's Andrew McCabe was secretly working with Lynch/Obama/Rice to spy on Donald Trump team VIA any means necessary!,[],,0.0,nan,"['FBI', ""Hillary's Andrew McCabe"", 'Lynch', 'Obama', 'Rice', 'Donald Trump']",FBI::*3*||Hillary's Andrew McCabe::*5*6*7*||Lynch::*12*||Obama::*13*||Rice::*14*||Donald Trump::*18*19*||,,0,,2019-01-27 15:38:44.486632,64,glennyork
92,Carter Page,[],,0.0,nan,[],nan,,1,,2019-01-27 15:38:44.486632,64,glennyork
93,Here we go again...,[],,0.0,nan,[],,,0,,2019-01-27 15:38:44.488030,65,WhyAsk65
94,FISA court granted FBI authority to monitor Trump adviser Carter Page during campaign:  via @slate,[],,0.0,nan,"['FBI', 'Trump', 'Carter Page']",FBI::*3*||Trump::*7*||Carter Page::*9*10*||,,0,,2019-01-27 15:38:44.488301,66,slatest
95,So proof that Trump's team was colluding with the Russians,[],,0.0,nan,"[""Trump's"", 'Russians']",Trump's::*3*||Russians::*9*||,,0,,2019-01-27 15:38:44.489101,67,Karadur_Zero
96,Well...,[],,0.0,nan,[],nan,,0,,2019-01-27 15:38:44.489733,68,DalanOverstreet
97,Who Is Carter Page?,[],,0.0,"inners, msnbc, cnn",[],nan,,0,,2019-01-27 15:38:44.489906,69,BlackJesuscom
98,A Liar.,[],,0.0,"inners, msnbc, cnn",[],nan,,1,,2019-01-27 15:38:44.489906,69,BlackJesuscom
99,8 Things You Need to Know About the Former Trump Adviser.,[],,0.0,"inners, msnbc, cnn",[],nan,,2,,2019-01-27 15:38:44.489906,69,BlackJesuscom
100,He's busy trying to destroy the lives of minorities across the country.,[],,0.0,nan,[],,,0,,2019-01-27 15:38:44.490477,70,jmichaelkell
101,Sure hope he does and soon.,[],,0.0,nan,[],,,0,,2019-01-27 15:38:44.490950,71,sdbees1953
102,Page again.,[],,0.0,nan,[],nan,,0,,2019-01-27 15:38:44.491370,72,DonnaJo1002
103,Poor guy…,[],,0.0,nan,[],,,1,,2019-01-27 15:38:44.491370,72,DonnaJo1002
104,imagine trying to spin this as good for Trump,[],,0.0,nan,['Trump'],Trump::*8*||,,0,,2019-01-27 15:38:44.491758,73,Philatticus
105,this might be the worst thing thats come out so far,[],,0.0,nan,[],,,1,,2019-01-27 15:38:44.491758,73,Philatticus
106,FBI obtained a FISA warrant on Carter Page (former Trump advisor) on basis of probable cause he was operating as a foreign Russia agent.,[],,0.0,nan,"['FISA', 'Carter Page', 'Trump', 'Russia']",FISA::*3*||Carter Page::*6*7*||Trump::*9*||Russia::*22*||,,0,,2019-01-27 15:38:44.492633,74,dnmilikan
107,@politicques They tried to say they'd never even heard the name Carter Page!,[],,0.0,inners,['Carter Page'],Carter Page::*11*12*||,,0,,2019-01-27 15:38:44.493919,75,NoctilucentClou
108,I saw 45* call him by name as a way to impress.,[],,0.0,inners,[],,,1,,2019-01-27 15:38:44.493919,75,NoctilucentClou
109,Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump adviser - Fox News The  is deep.,[],,0.0,"swamp, DTS","['Carter Page', 'FBI', 'FISA', 'Fox News']",Carter Page::*0*1*||FBI::*2*||FISA::*5*||Fox News::*12*13*||,,0,,2019-01-27 15:38:44.495062,76,trmcolorado
110,Happy Passover...,[],,0.0,nan,[],nan,,0,,2019-01-27 15:38:44.496057,77,Analogbear
111,Why did James Comey cover this up while writing the letter about Hillary's emails?,[],,0.0,nan,"['James Comey', ""Hillary's""]",James Comey::*2*3*||Hillary's::*12*||,,0,,2019-01-27 15:38:44.496250,78,drhug
112,Investigate the FBI Director for election tampering too.,[],,0.0,nan,['Investigate the FBI Director'],Investigate the FBI Director::*0*1*2*3*||,,1,,2019-01-27 15:38:44.496250,78,drhug
113,@JoeNBC Spicy has been an idiot from day1.,[],,0.0,nan,['Spicy'],Spicy::*1*||,,0,,2019-01-27 15:38:44.497334,79,mikeinbama
114,"Carter Page on the other hand is going to snitch.Hey Joe, I'm looking forward to your spin in the morning",[],,0.0,nan,"['Carter Page', 'Joe']",Carter Page::*0*1*||Joe::*10*||,,1,,2019-01-27 15:38:44.497334,79,mikeinbama
115,Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump┬áadviser,[],,0.0,nan,"['Carter Page', 'FBI', 'FISA']",Carter Page::*0*1*||FBI::*2*||FISA::*5*||,,0,,2019-01-27 15:38:44.498561,80,Siddharthjrs
116,"It's like Office Space: Each day is worse than the last, so you're always seeing the Trump administration at its lowest point!",[],,0.0,nan,"['Office Space', 'Trump']",Office Space::*2*3*||Trump::*16*||,,0,,2019-01-27 15:38:44.499280,81,adammc123
117,Carter Page lived in Russia for awhile.,[],,0.0,FBI,"['Carter Page', 'Russia']",Carter Page::*0*1*||Russia::*4*||,,0,,2019-01-27 15:38:44.500197,82,shortreddog
118,Very close to them.,[],,0.0,FBI,[],,,1,,2019-01-27 15:38:44.500197,82,shortreddog
119,Trump said early on he was going to use Page as foreign policy expert.,[],,0.0,FBI,['Page'],Page::*9*||,,2,,2019-01-27 15:38:44.500197,82,shortreddog
120,Just when the Trump admin gets its very shaky footing.,[],,0.0,Day82,['Trump'],Trump::*3*||,,0,,2019-01-27 15:38:44.501379,83,Gratkin
121,Carter Page was being played by Russians.,[],,0.0,Day82,"['Carter Page', 'Russians']",Carter Page::*0*1*||Russians::*6*||,,1,,2019-01-27 15:38:44.501379,83,Gratkin
122,Nunes lied about Susan Rice,[],,0.0,Day82,['Susan Rice'],Susan Rice::*3*4*||,,2,,2019-01-27 15:38:44.501379,83,Gratkin
123,exactly,[],,0.0,nan,[],nan,,0,,2019-01-27 15:38:44.502620,84,alcamus
124,otoh what info could have been gleaned from this campaign nobody,[],,0.0,nan,[],nan,,1,,2019-01-27 15:38:44.502620,84,alcamus
125,Whoa.,[],,0.0,"Inners, p2, TrumpRussia, tcot",[],nan,,0,,2019-01-27 15:38:44.502792,85,craftyme25
126,@washingtonpost : FBI Granted FISA Warrant to Monitor Fmr.,[],,0.0,"Inners, p2, TrumpRussia, tcot","['FBI Granted FISA Warrant', 'Monitor Fmr']",FBI Granted FISA Warrant::*2*3*4*5*||Monitor Fmr::*7*8*||,,1,,2019-01-27 15:38:44.502792,85,craftyme25
127,Trump Advisor Carter Page.,[],,0.0,"Inners, p2, TrumpRussia, tcot",[],nan,,2,,2019-01-27 15:38:44.502792,85,craftyme25
128,My pick≡ƒñæ,[],,0.0,nan,[],,,0,,2019-01-27 15:38:44.503594,86,pammykaye
129,Carter Page about to be thrown under a bus so hard he'll wish he was flying United.,[],,0.0,nan,"['Carter Page', 'United']",Carter Page::*0*1*||United::*16*||,,0,,2019-01-27 15:38:44.503880,87,JeffreySconce
130,"I would NEVER contradict, but, Sam Clovis??",[],,0.0,nan,['Sam Clovis'],Sam Clovis::*5*6*||,,0,,2019-01-27 15:38:44.504684,88,ChristinLuvsSno
131,@yottapoint,[],,0.0,nan,[],,,1,,2019-01-27 15:38:44.504684,88,ChristinLuvsSno
132,Oh boy.,[],,0.0,nan,[],,,0,,2019-01-27 15:38:44.505225,89,wandsci
133,Carter Page,[],,0.0,nan,[],nan,,0,,2019-01-27 15:38:44.505442,90,unscriptedmike
134,FBI convinced FISA judge to provide warrant.,[],,0.0,nan,['FISA'],FISA::*2*||,,1,,2019-01-27 15:38:44.505442,90,unscriptedmike
135,Based on what?,[],,0.0,nan,[],nan,,2,,2019-01-27 15:38:44.505442,90,unscriptedmike
136,We don't know.,[],,0.0,nan,[],nan,,3,,2019-01-27 15:38:44.505442,90,unscriptedmike
137,is gonna get busted.,[],,0.0,TeamTrumpRussia,[],,,0,,2019-01-27 15:38:44.506107,91,Mrsresistor
138,Oh dear....whatever will we do when the trash is taken out of the Whitehouse to the dump?,[],,0.0,TeamTrumpRussia,['Whitehouse'],Whitehouse::*14*||,,1,,2019-01-27 15:38:44.506107,91,Mrsresistor
139,Call HRC!!,[],,0.0,TeamTrumpRussia,[],nan,,2,,2019-01-27 15:38:44.506107,91,Mrsresistor
140,We now return to our regularly scheduled programming.,[],,0.0,nan,[],,,0,,2019-01-27 15:38:44.507171,92,RyGil01
141,What kinda crazy sh*t will Sean Spicer say to divert attention from this bombshell?,[],,0.0,"TrumpRussiaCoverUp, 25TrumpNow",['Sean Spicer'],Sean Spicer::*5*6*||,,0,,2019-01-27 15:38:44.507495,93,25trumpnow
142,When are we gonna get the big news of russian collusion after a year of duplicitous wiretaps of Trump's entire team?,[],,0.0,nan,"[""Trump's""]",Trump's::*18*||,,0,,2019-01-27 15:38:44.508121,94,Dont_be_a_dweeb
143,@selectedwisdom @washingtonpost it seems Trump's wiretapping accusation is an aggrandized truth-stretched variant of what happened to Page,[],,0.0,nan,"[""Trump's"", 'Page']",Trump's::*4*||Page::*16*||,,0,,2019-01-27 15:38:44.508983,95,JennyGermaine
144,****FBI reportedly probed ex-Trump aide Carter Page during campaign****  via @nypost,[],,0.0,nan,['Carter Page'],Carter Page::*5*6*||,,0,,2019-01-27 15:38:44.509788,96,jerZboyUSA
145,FBI got FISA warrant 2 monitor Trump adviser Carter Page.,[],,0.0,nan,"['FISA', 'Trump', 'Carter Page']",FISA::*2*||Trump::*6*||Carter Page::*8*9*||,,0,,2019-01-27 15:38:44.510443,97,TVDExcel6
146,Why those connected 2 @POTUS also connected 2 Russia?,[],,0.0,nan,['2 Russia'],2 Russia::*7*8*||,,1,,2019-01-27 15:38:44.510443,97,TVDExcel6
147,wow they had a warrant this is just like watergate,[],,0.0,nan,[],nan,,0,,2019-01-27 15:38:44.511620,98,UrbanAchievr
148,These Trump people have no shame.,[],,0.0,nan,['Trump'],Trump::*1*||,,0,,2019-01-27 15:38:44.511759,99,rachelbailin
149,FBI obtained FISA warrant to monitor former Trump adviser Carter Page - Washington Post,[],,0.0,"Davenport, Iowa","['FISA', 'Trump', 'Carter Page', 'Washington Post']",FISA::*2*||Trump::*7*||Carter Page::*9*10*||Washington Post::*12*13*||,,0,,2019-01-27 15:38:44.512167,100,DavenportIowaa
150,Washington Post FBI obtained FISA warrant to monitor former Trump adviser Carter Page Washington Post The FBIΓÇª,[],,0.0,nan,"['Washington Post FBI', 'FISA', 'Trump', 'Carter Page Washington Post The FBI']",Washington Post FBI::*0*1*2*||FISA::*4*||Trump::*9*||Carter Page Washington Post The FBI::*11*12*13*14*15*16*||,,0,,2019-01-27 15:38:44.513051,101,NewsToppers
151,"@ZZMAMA1 So, Carter Page and Spicer are having bad days...slmfao.",[],,0.0,nan,"['Carter Page', 'Spicer']",Carter Page::*2*3*||Spicer::*5*||,,0,,2019-01-27 15:38:44.514156,102,yynn6001
152,I mean...,[],,0.0,nan,[],,,0,,2019-01-27 15:38:44.514745,103,televisionwhore
153,@billbong9059 @realDonaldTrump FBI and the Justice Department obtained the warrant targeting Carter Page communications.,[],,0.0,nan,"['FBI', 'Justice Department', 'Carter Page']",FBI::*2*||Justice Department::*5*6*||Carter Page::*11*12*||,,0,,2019-01-27 15:38:44.514963,104,christy_harlan
