,annotations,candidates_holder,tweet_text,tweetid,tpstanford_candidates,fnstanford_candidates,fpstanford_candidates
42,['jim comey'],[],and again a bang up job by jim comey letting the public know who was under investigation last summer ,42,0,1,0
43,[],[],@ funder ,43,0,0,0
44,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'fisa', 'trump', 'carter']",The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page...  by  via @c0nvey ,44,3,1,1
45,[],[],It should only be a few minutes before the next crazy diversion. Back on the front page where it belongs. ,45,0,0,0
46,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'fisa', 'trump', 'carter']",FBI obtained a FISA warrant last summer to monitor Trump adviser Carter Page...  by  via @c0nvey ,46,3,1,1
47,"['gop', 'dem', 'sorosian', 'carter page', 'george', 'healthcare']","['gop', 'george']",GOP and DEM Sorosian trolls out in full force 2 keep Carter Page from trending ps does George have healthcare perks? ,47,2,4,0
48,[],[],hello? Ahh... ,48,0,0,0
49,"['fbi', 'fisa', 'trump', 'carter page', 'russia']","['fbi', 'fisa', 'trump', 'carter page', 'russia']",The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a probe of campaign’s Russia ties ,49,5,0,0
50,"['carter page', 'fbi', 'jd', 'fbi', 'dr.king']","['carter page', 'fbi']","Carter Page claims the FBI/JD wire tap is just like when the FBI tapped Dr.King... yeah, brah, just like that...except not in every way. ",50,3,2,0
51,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'fisa', 'trump']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page via /r/politics ,51,3,1,0
52,"['fisa', 'us']",['us'],A FISA warrant against US national requires evidence they knowingly participated in clandestine intel ops. ,52,1,1,0
53,[],[],@rideatdawn Nah... hack dossier damn it! ,53,0,0,0
54,['breitbart'],['breitbart'],This Breitbart guy. ,54,1,0,0
55,"['rep schiff', 'nunes', 'fisa', 'carter page', 'white house']","['nunes', 'carter page', 'schiff']","Rep Schiff do your thing If Nunes saw Carter Page unmasked on a FISA warrant, no wonder he ran to the White House...wonder what else he saw? ",55,2,3,1
56,['carter page'],['carter page.'],@united just gave lifetime premier status to @PressSec and Carter Page. ,56,0,1,1
57,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'fisa', 'trump', 'carter page']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page ,57,4,0,0
58,[],[],"But the problem is the leaks, right 45? ",58,0,0,0
59,"['carter page', 'fbi']",['fbi'],No. Is carter page being charged? Just BS conjecture. @RDebag @jaketapper @MichLKosinski Like I said (and the FBI said) Zero evidence. ,59,1,1,0
60,[],[],"Stay focused on  and  will be gone soon. Hang in there, folks. The walls inch ever closer. ",60,0,0,0
61,[],[],Enough of  and  let's get back to the basics ,61,0,0,0
62,['carter page'],[],"""Carter Page"" ",62,0,1,0
63,"['comrade comey', 'puppet master']",['comey'],Comrade Comey did as his Puppet Master ordered. ,63,0,2,1
64,"['carter page', 'fbi', 'hillary', 'andrew mccabe', 'lynch', 'obama', 'rice', 'donald trump']","['fbi', 'andrew mccabe', 'donald trump']",Carter Page @FoxNews @dkrwilliams @oreillyfactor FBI  / Hillary's Andrew McCabe was secretly working with Lynch/Obama/Rice to spy on Donald Trump team VIA any means necessary! ,64,3,5,0
65,[],[],Here we go again... ,65,0,0,0
66,"['fisa', 'fbi', 'trump', 'carter page']","['fbi', 'trump', 'carter page']",FISA court granted FBI authority to monitor Trump adviser Carter Page during campaign:  via @slate ,66,3,1,0
67,"['trump', 'russians']",[],So proof that Trump's team was colluding with the Russians ,67,0,2,0
68,[],[],Well... ,68,0,0,0
69,"['trump', 'carter page']","['carter', 'trump adviser.']",8 Things You Need to Know About the Former Trump Adviser. A Liar. Who Is Carter Page? ,69,0,2,2
70,[],[],He's busy trying to destroy the lives of minorities across the country. ,70,0,0,0
71,[],[],Sure hope he does and soon. ,71,0,0,0
72,['page'],[],Poor guy… Page again. ,72,0,1,0
73,['trump'],['trump'],this might be the worst thing thats come out so far imagine trying to spin this as good for Trump ,73,1,0,0
74,"['fbi', 'fisa', 'carter page', 'trump', 'russia']","['fbi', 'fisa', 'russia']",FBI obtained a FISA warrant on Carter Page (former Trump advisor) on basis of probable cause he was operating as a foreign Russia agent. ,74,3,2,0
75,['carter page'],['carter'],I saw 45* call him by name as a way to impress. @politicques They tried to say they'd never even heard the name Carter Page! ,75,0,1,1
76,"['carter page', 'fbi', 'fisa', 'fox news']","['carter', 'fbi', 'fisa']",Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump adviser - Fox News The  is deep. ,76,2,2,1
77,['passover'],[],Happy Passover... ,77,0,1,0
78,"['fbi', 'comey', 'james comey', 'hillary']","['james comey', 'fbi']",Investigate the FBI Director for election tampering too. Why did James Comey cover this up while writing the letter about Hillary's emails? ,78,2,2,0
79,"['carter page', 'spicy']",[],"Carter Page on the other hand is going to snitch.Hey Joe, I'm looking forward to your spin in the morning @JoeNBC Spicy has been an idiot from day1. ",79,0,2,0
80,"['carter page', 'fbi', 'fisa']","['carter', 'fbi', 'fisa']",Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump┬áadviser ,80,2,1,1
81,['trump'],['trump'],"It's like Office Space: Each day is worse than the last, so you're always seeing the Trump administration at its lowest point! ",81,1,0,0
82,"['trump', 'page', 'carter page', 'russia']","['carter page', 'russia', 'trump']",Trump said early on he was going to use Page as foreign policy expert. Very close to them. Carter Page lived in Russia for awhile. ,82,3,1,0
83,"['nunes', 'susan rice', 'carter page', 'russians', 'trump']","['trump', 'nunes', 'susan rice']",Nunes lied about Susan Rice Carter Page was being played by Russians. Just when the Trump admin gets its very shaky footing. ,83,3,2,0
84,[],[],otoh what info could have been gleaned from this campaign nobody exactly ,84,0,0,0
85,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'trump', 'carter page.']",Trump Advisor Carter Page. @washingtonpost : FBI Granted FISA Warrant to Monitor Fmr. Whoa. ,85,2,2,1
86,[],[],My pick≡ƒñæ ,86,0,0,0
87,"['carter page', 'united']",['carter page'],Carter Page about to be thrown under a bus so hard he'll wish he was flying United. ,87,1,1,0
88,['sam clovis'],[],"@yottapoint I would NEVER contradict, but, Sam Clovis?? ",88,0,1,0
89,[],[],Oh boy. ,89,0,0,0
90,"['fbi', 'fisa', 'carter page']",['fbi'],We don't know. Based on what? FBI convinced FISA judge to provide warrant. Carter Page ,90,1,2,0
91,['whitehouse'],['whitehouse'],Call HRC!! Oh dear....whatever will we do when the trash is taken out of the Whitehouse to the dump? is gonna get busted. ,91,1,0,0
92,[],[],We now return to our regularly scheduled programming. ,92,0,0,0
93,['sean spicer'],['sean spicer'],What kinda crazy sh*t will Sean Spicer say to divert attention from this bombshell? ,93,1,0,0
94,"['trump', 'russian']",[],When are we gonna get the big news of russian collusion after a year of duplicitous wiretaps of Trump's entire team? ,94,0,2,0
95,"['trump', 'page']",[],@selectedwisdom @washingtonpost it seems Trump's wiretapping accusation is an aggrandized truth-stretched variant of what happened to Page ,95,0,2,0
96,"['fbi', 'carter page']",['carter'],****FBI reportedly probed ex-Trump aide Carter Page during campaign****  via @nypost ,96,0,2,1
97,"['russia', 'fbi', 'fisa', 'trump', 'carter page']","['fbi', 'fisa', 'trump', 'carter']",Why those connected 2 @POTUS also connected 2 Russia? FBI got FISA warrant 2 monitor Trump adviser Carter Page. ,97,3,2,1
98,['watergate'],[],wow they had a warrant this is just like watergate ,98,0,1,0
99,['trump'],['trump'],These Trump people have no shame. ,99,1,0,0
100,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']","['fbi', 'fisa', 'trump', 'carter page - washington post']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page - Washington Post ,100,3,2,1
101,"['washington post', 'fbi', 'fisa', 'trump', 'carter page', 'washington post']","['washington post fbi', 'fisa', 'trump', 'carter page washington post']",Washington Post FBI obtained FISA warrant to monitor former Trump adviser Carter Page Washington Post The FBIΓÇª ,101,2,4,2
102,"['carter page', 'spicer']",['spicer'],"@ZZMAMA1 So, Carter Page and Spicer are having bad days...slmfao. ",102,1,1,0
103,[],[],I mean... ,103,0,0,0
104,"['fbi', 'justice department', 'carter page']","['fbi', 'justice department']",How'd they get that?Probable cause. @billbong9059 @realDonaldTrump FBI and the Justice Department obtained the warrant targeting Carter Page communications. ,104,2,1,0
105,"['carter page', 'cnn', 'spicer']",[],Where the hell is carter page story? Im going to lose my mind cnn shows the spicer interview with wolf one more time. ,105,0,3,0
106,['nazi'],[],I think we discovered today that @seanspicer is a closet Nazi. ,106,0,1,0
107,"['devin nunes', 'carter page', 'ag sessions']","['ag sessions', 'carter', 'devin nunes ketchup!']",Ketchup! Devin Nunes 3. Carter Page 2. AG Sessions 1. Small starter list of today's new swept under the magic carpet: ,107,1,2,2
108,"['fisa', 'carter page']",[],45* not looking good at all. A FISA warrant was granted for Carter Page huh??? ,108,0,2,0
109,[],[],New details have emerged in  probes ,109,0,0,0
110,[],[],Everything you said is true ,110,0,0,0
111,['flynn'],[],"FLYNN, PAGE, TRUMP is responsible and should be impeached    GRRRR Lock them all up! ",111,0,1,0
112,[],[],nothing to see here move along pay no attention to the man behind the curtain ,112,0,0,0
113,"['hallelujah', 'flynn', 'gen. flynn']","['flynn', 'asshole yellow belly']",Hallelujah Gen. Flynn - Mr. Asshole Yellow Belly That fear begets true confessions. Weakness spreads like fear whenever any such piece fails ,113,1,2,1
114,"['spicer', 'carter page']","['spicer', 'carter page...']",Spicer owes Carter Page... ,114,1,1,1
115,"['carter page', 'james bond']","['carter page', 'james bond']",It's just so fitting that Carter Page sounds like the name of a very lame James Bond ripoff character. ,115,2,0,0
116,"['obama', 'germany']","['obama', 'germany']",Maybe Obama is seeking asylum in Germany ,116,2,0,0
117,['carter page'],[],"Or someone else..? Wait, didn't @maddow crack this can of Carter Page open like, 3 weeks ago? ",117,0,1,0
118,[],[],Let's stay focused on ,118,0,0,0
119,"['comey', 'hillary']","['comey', 'hillary']","Comey was doing all this during the time he dropped that Hillary letter on us, btw. ",119,2,0,0
120,"['fbi', 'carter page']",['fbi'],This is less important than a stupid email server?? Why did the FBI suppress the Carter Page story? ,120,1,1,0
121,[],[],Sucky liar *and* a tweaker. Dude acts like he's on meth. ,121,0,0,0
122,['carter page'],['carter page'],Carter Page ,122,1,0,0
123,"['page', 'mlk', 'comey', 'hrc', 'russian', 'trump']","['trump', 'comey', 'hrc']","- Page sez he's like MLK - Comey sat on this, made hay over HRC - probable cause that Russian agent was on Trump campaign Many ""holy sh*t""s: ",123,3,3,0
124,"['fisa', 'carter page', 'russia', 'trump']","['trump', 'russia']",He knew of FISA Warrant/Carter Page &amp; still said no when asked if his campaign was n contact w/ Russia Trump has access to Intel. ,124,2,2,0
125,"['fisa', 'fbi', 'carter page']",['fbi'],@AnnCoulter Wow let's talk about FISA that FBI took out on Carter Page 2016. ,125,1,2,0
126,"['fbi', 'carter page', 'comey', 'clinton']","['fbi', 'carter page wtf', 'comey', 'clinton']",FBI was monitoring Carter Page WTF did Comey come up with those Bogus emails about Clinton @SMShow @OccupyDemocrats @JohnFugelsang @funder ,126,3,1,1
127,"['fbi', 'fisa', 'trump', 'carter page']","['fisa', 'trump', 'carter page****']",****FBI obtained FISA warrant to monitor former Trump adviser Carter Page**** ,127,2,2,1
128,['sam clovis'],['sam clovis.'],@shaltsch Sam Clovis. ,128,0,1,1
129,"['comey', 'clinton']",[],"Comey didn't announce this but on October 28, he went out of his way to announce the non-story of Clinton's emails ",129,0,2,0
130,['russian'],[],On Trump's campaign team. ...because he was a Russian agent. ,130,0,1,0
131,"['fisa', 'carter page']",['carter page'],We just found out about FISA Warrant n Carter Page and this is the best @realDonaldTrump can come up with to distract? ,131,1,1,0
132,[],[],Jail time ,132,0,0,0
133,[],[],"Let us not be distracted by ignorance, @PressSec ",133,0,0,0
134,"['fbi', 'trump', 'carter page', 'russia', 'fisa']","['fbi', 'trump', 'carter page', 'russia']",FBI had probable cause that Trump adviser Carter Page was acting as a foreign agent for Russia &amp; got a FISA warrant ,134,4,1,0
135,[],[],Whichever one doesnt want to be thrown from a building or poisoned ,135,0,0,0
136,"['fbi', 'carter page', 'russia']","['fbi', 'carter page', 'russia']",A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia ,136,3,0,0
137,"['carter page', 'janesville', 'judy', 'putin']",['janesville wi'],Simple Question Yes or No ...Was Carter Page in Janesville WI in September? ...Punch &amp; Judy Without the Humor. @JoeNBC PUTIN Puppet Show Is Now. ,137,0,4,1
138,"['fbi', 'fisa', 'russia', 'carter page']","['carter', 'fbi', 'fisa', 'russia']",FBI requested a FISA warrant last year to follow his activities in Russia Have heard about Carter Page? @leyles7 Me too. ,138,3,1,1
139,[],['yawn'],Yawn ,139,0,0,1
140,"['carter page', 'fisa', 'russian']",[],"Traitorous! @washingtonpost Dear Carter Page, if a judge granted the FISA, THERE WAS EVIDENCE such as you meeting with two known Russian spies. ",140,0,3,0
141,[],[],"Ah, but I was so much older then, I'm younger than that now Mutiny from stern to bow ",141,0,0,0
142,['page'],['page'],"""probable cause to believe Page was acting as an agent of a foreign power"" ",142,1,0,0
143,"['russia', 'maxine waters']",['maxine waters'],"THANK YOU for not EVER letting go of the REAL scandal: TREASON, collusion with Russia. Maxine Waters is DA WOMAN. ",143,1,1,0
144,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'fisa', 'trump', 'carter']",WashPost: FBI granted FISA warrant 2monitor Trump policy adviser Carter Page.FISA court found probable cause DT aide acting as foreign agent ,144,3,1,1
145,['carter page'],"['lot', 'carter']","@normative Which says a LOT about Carter Page, ",145,0,1,2
146,"['fbi', 'fisa', 'carter page']","['fbi counterintelligence obtained fisa', 'carter page']",FBI Counterintelligence Obtained  FISA Warrant For Carter Page ,146,1,2,1
147,"['trump', 'flynn', 'carter page']","['trump', 'flynn', 'carter page iirc.']",@proust1974 He was so close to Trump that Flynn said he never even met Carter Page iirc. ,147,2,1,1
148,"['carter page', 'russian']",['carter page'],Carter Page had other contacts with Russian operatives that have not been publicly disclosed. ,148,1,1,0
149,"['gop', 'dem']",['gop'],GOP and DEM ,149,1,1,0
150,"['carter page', 'wh']",['carter page'],@Reuters Besides Carter Page acting as a foreign agent there has to be alot more in the WH. ,150,1,1,0
151,"['trump', 'weiner', 'fisa', 'comey']","['comey', 'weiner']","Did it anyway, knowing the result would help tRump. Major press event with Weiner email, but he KNEW about FISA warrant. Comey is a POS. ",151,2,2,0
152,['fbi'],"['intel', 'fbi']",I'm so grateful for our Intel community and FBI who will untangle all of it and lock them up! What a tangled web they weave... ,152,1,0,1
153,"['trump', 'page', 'fbi', 'russian', 'carter page']","['carter page', 'trump &amp; co.', 'fbi']",Trump &amp; Co. offering up Page to FBI to take the blame for Russian interference. @maddow Seems Carter Page drew the short straw. ,153,2,3,1
154,"['sean spicer', 'carter page']",['sean spicer carter page'],I will do computer networking and IT security on   Sean Spicer Carter Page Check this out! ,154,0,2,1
155,['carter page'],['carter page'],1/2 Carter Page was unmasked (it's in the press) and all signs point toward the former administration. @DoctorPeterD @thehill We have seen what happens. ,155,1,0,0
156,"['acting atty general', 'carter page']",[],Acting Atty General must appoint a SpecΓÇª We have extreme heat. Warrant on Carter Page shows we no longer have smoke. ,156,0,2,0
157,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'fisa', 'trump']",BREAKING: FBI obtained FISA warrant to monitor former Trump adviser Carter Page  by  via @c0nvey ,157,3,1,0
158,[],[],March 2016: ,158,0,0,0
159,"['carter page', 'fisa', 'trump']",['trump'],Carter Page FISA story and now this @cnnbrk @Evan_McMullin Good Lord how many scandals can Trump  et al generate in a day? ,159,1,2,0
160,"['carter', 'fbi']",['carter'],Carter  fbi warrant ,160,1,1,0
161,['carter page'],[],"Place you bets, I say @realDonaldTrump will be out of office in next 12 months And @mike_pence needs to follow him too  ""Carter Page"" ",161,0,1,0
162,['chris hayes'],['chris hayes'],I remember his shit eating grin when Chris Hayes was interviewing him on ,162,1,0,0
163,"['dems', 'carter page', 'fisa']",[],(Sarcasm) Dems working overtime to blow it up! Almost a year later the Carter Page FISA news drops and this is BIG news? ,163,0,3,0
164,"['carter page', 'fbi', 'election day', 'hillary', 'hillary clinton']","['fbi', 'hillary clinton. carter page']","Carter Page One of the two presidential candidates was under FBI investigation on Election Day, &amp; it wasnt Hillary Clinton. ",164,1,4,1
165,['hrc'],['white house'],"@FBI BUT WENT AFTER HRC, NOW WE HAVE A LUNATIC IN THE WHITE HOUSE AND U HAVE BIG RESPONSIBILITY FOR THIS ",165,0,1,1
166,"['fbi', 'fisa', 'trump', 'carter page', 'comey']","['fbi', 'fisa', 'trump']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page makes Comey's subsequent actions all the more unfathomable. ,166,3,2,0
167,"['carter page', 'trump', 'fbi']","['carter', 'fbi']","Carter Page, Former Trump Adviser, Monitored Last Summer By FBI Over  Contacts ",167,1,2,1
168,[],[],this one is a real page turner ,168,0,0,0
169,['wapo'],[],@SenateGOP @washingtonpost  featured in a different WAPO article ,169,0,1,0
170,"['fisa', 'carter page', 'flynn', 'trump']",['carter'],"From 4/4 News of FISA Warrant against Carter Page, continuing silence on Flynn, fits inference they've nailed Trump. ",170,0,4,1
171,"['obama', 'irs']","['obama', 'irs']","The Obama administration used the national security intelligence apparatus against its political enemies, because the IRS wasn't enough. ",171,2,0,0
172,"['united airlines', 'carter page', 'devin nunes', 'sean spicer']","['united airlines', 'carter', 'devin nunes', 'sean spicer']","United Airlines thanks Carter Page, Devin Nunes and most importantly Sean Spicer ",172,3,1,1
173,"['fisa', 'fbi', 'trump', 'pbo']",['trump'],Worst spin of a legal FISA warrant by FBI.... ever. I know you are not trying to say Trump was right about illegal wiretapping by PBO. ,173,1,3,0
174,[],[],But her eemmmaaaaiiiiiiiiilllllllllllsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss ,174,0,0,0
175,"['carter page', 'fbi', 'martin luther king', 'trumpland', 'sean spicer', 'hitler']","['sean spicer', 'hitler', 'fbi', 'martin luther king']",Carter Page says FBI surveillance of him is like spying on Martin Luther King TRUMPLAND TODAY Sean Spicer says Hitler didn't gas anyone. ,175,4,2,0
176,[],[],NOT breaking- (to those of us paying attention ) thanks to @LouiseMensch ,176,0,0,0
177,[],[],"But those @HillaryClinton emails........(looking for ""head exploding"" emoji) ",177,0,0,0
178,['carter page'],[],"I created this Tease for ""carter page"" using T. Go to  to create &amp; share a Tease for any topic. ",178,0,1,0
179,[],[],It's like they don't get that what's been confirmed here is that there is major evidence of collusion. ,179,0,0,0
180,['msm'],[],"Oh yeah, they already know. Will someone tell the MSM? ",180,0,1,0
181,"['fbi', 'trump', 'carter page']","['fbi', 'trump', 'carter page.']",The FBI obtained a warrant to monitor former Trump adviser Carter Page. ,181,2,1,1
182,['fisa'],[],@matt_rawlik here's those FISA's we were talking about ,182,0,1,0
183,"['carter page', 'manafort', 'tillerson']",[],"Nothing to see comrade. @AAANYC1 @M2324M @THXOne138 @cnnbrk Maybe you prefer the word of @Sebastiangorka, or Carter Page, Manafort, or Tillerson. ",183,0,3,0
184,[],['carter'],&amp; Who pray tell recommended him? @ResistanceParty Oh is this the oil industry consultant Carter Page?? ,184,0,0,1
185,"['carter page', 'washington post']","['washington post', 'carter page']",Carter Page Washington Post app download ,185,2,0,0
186,"['ceo', 'russia', 'russia oil', 'trump', 'us']","['russia', 'trump', 'us']",CEO of Russia Oil offered Trump adviser he felt deal to get US sanctions lifted: ,186,3,2,0
187,['trump'],['trump'],So...either Trump was duped or was complicit ,187,1,0,0
188,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'fisa', 'trump', 'carter page']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page quel surprise! ,188,4,0,0
189,['fbi'],['fbi'],Why didnt FBI annouce that investigation ,189,1,0,0
190,[],[],This may be awkward.... ,190,0,0,0
191,"['trump', 'russian', 'carter page', 'flynn', 'manafort']","['trump', 'carter']","Relieved that Trump only surrounds himself with the best people-the best people with Russian ties: Carter Page,Flynn,Manafort... ",191,1,4,1
192,"['carter page', 'russian']",['carter page'],Carter Page under investigation for suspicious Russian ties ,192,1,1,0
193,[],[],Hope they took his passport So the second domino falls - who gets the best deal??? ,193,0,0,0
194,"['carter page', 'russia']",['russia'],"Think @maddow will be telling the ""Carter Page to Russia with Love"" story tonight? ",194,1,1,0
195,"['fisa', 'russia', 'carter page']","['carter page', 'russia']","FISA warrent issued, you asked Russia to find 30K @HillaryClinton emails hose coming @realDonaldTrump Yep, Carter Page was being survield. ",195,2,1,0
196,['fbi'],['fbi'],The FBI don't drop a dime until its time. ,196,1,0,0
197,[],[],A freaking . ,197,0,0,0
198,['carter page'],[],@washingtonpost Carter Page is despicable. ,198,0,1,0
199,['msm'],['msm'],Our incompetent lazy MSM is always late to the party  @LouiseMensch @MelissaJPeltier @RVAwonk ,199,1,0,0
200,[],[],"@AAANYC1 @M2324M @THXOne138 @cnnbrk Like this, you mean? ",200,0,0,0
201,"['carter page', 'fbi', 'fisa']","['carter', 'fbi', 'fisa']",Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump adviser ,201,2,1,1
202,[],[],Good call! @KeithOlbermann - In one of vids he said to keep an eye on . ,202,0,0,0
203,['warriors'],[],This is like the Warriors claiming they won back to back championships... ,203,0,1,0
204,['russia'],[],"Recruited as a spy by Russia, foreign policy advisor  being investigated as part of  case. ",204,0,1,0
205,"['trump', 'trump', 'trump']","['trump', 'trump', 'trump']",I will not spend the night reading about Trump I will not spend the night reading about Trump I will not spend the night reading about Trump ,205,3,0,0
206,['breitbarters'],['trump'],"&amp; for those Breitbarters thinking this is proof of untoward surveillance?If there's a finding that Page WAS a foreign agent, Trump is toast ",206,0,1,1
207,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']","['fbi', 'fisa', 'trump', 'washington']",Fish Rots from FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post. ,207,3,2,1
